item,age_PC1,age_PC2,age_PC3,n_known_age,age_mode,prop_mode,n_mode,0_6,07_17,18_30,31_50,51_65,66_80,81+,no age,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
chřipka,0.9368050936746345,1.4021309119019683,-0.3229525384210154,32,no age,0.375,1,0.15729166666666666,0.15729166666666666,0.15104166666666669,0.015625,0.06875,0.06875,0.00625,0.375,NA,NA,chřipka,flu,f,i,cz,words,noun,word_275,sociolex
cibule,-0.7913966111474844,-0.39708676893558886,-0.8287337572122332,39,no age,0.358974358974359,1,0.003663003663003663,0.03870573870573871,0.12417582417582419,0.2523809523809524,0.11990231990231989,0.060073260073260075,0.04212454212454212,0.358974358974359,PICTURE_026,1,cibule,onion,f,i,cz,words,noun,image_122,multipic
cigareta,-0.09589873165846627,-1.1559149023756183,1.4856096068736298,74,18-30,0.30698198198198207,1,0.013513513513513514,0.1472972972972973,0.30698198198198207,0.21576576576576573,0.14819819819819816,0.0704954954954955,0.03018018018018018,0.06756756756756757,PICTURE_153,1,cigareta,cigarette,f,i,cz,words,noun,image_44,multipic
cirkus,1.9335193545321507,2.1639817193881496,0.26387912526565305,29,0-6,0.3994252873563219,1,0.3994252873563219,0.1954022988505747,0.07471264367816091,0.028735632183908042,0.02586206896551724,0.034482758620689655,0,0.2413793103448276,NA,NA,cirkus,circus,m,i,cz,words,noun,word_292,sociolex
citlivá,1.3949934385430909,0.5817936526591335,-0.012557997996544721,37,no age,0.35135135135135137,1,0.05566280566280566,0.1871943371943372,0.26827541827541823,0.04755469755469755,0.036293436293436294,0.02277992277992278,0.030888030888030885,0.35135135135135137,NA,NA,citlivá,sensitive,f,NA,cz,words,adjective,word_298,sociolex
citlivý,1.8258724354579994,0.936476565758757,0.7009502097743803,51,07-17,0.2822128851540617,1,0.12208216619981324,0.2822128851540617,0.21195144724556494,0.059990662931839404,0.010971055088702148,0.04201680672268907,0.015873015873015872,0.2549019607843137,NA,NA,citlivý,sensitive,m,NA,cz,words,adjective,word_299,sociolex
citron,0.8011994334197735,0.5564878408724869,-1.9625826485619067,41,no age,0.5609756097560976,1,0.03484320557491289,0.09175377468060394,0.12833914053426249,0.140534262485482,0.02264808362369338,0.010452961672473867,0.010452961672473867,0.5609756097560976,PICTURE_129,1,citron,lemon,m,i,cz,words,noun,image_28,multipic
civilizace,0.11296552723639881,0.1563580852674416,-0.5529400931161081,44,no age,0.38636363636363635,1,0.029220779220779213,0.03755411255411255,0.25725108225108223,0.12088744588744588,0.06406926406926407,0.060281385281385276,0.04437229437229437,0.38636363636363635,NA,NA,civilizace,civilization,f,i,cz,words,noun,word_300,sociolex
cizinec,0.43342481458744325,-1.5298691405345914,-0.1866444140940697,36,18-30,0.3197089947089948,1,0.010912698412698412,0.04656084656084656,0.3197089947089948,0.28637566137566134,0.0673941798941799,0.009523809523809525,0.009523809523809525,0.25,NA,NA,cizinec,foreigner (male),m,a,cz,words,noun,word_302,sociolex
cizinka,0.685518189590801,-0.7562747967597667,-1.157704475207899,33,no age,0.42424242424242425,1,0.004329004329004329,0.00937950937950938,0.3174603174603175,0.19624819624819623,0.029581529581529577,0.00937950937950938,0.00937950937950938,0.42424242424242425,NA,NA,cizinka,foreigner (female),f,a,cz,words,noun,word_303,sociolex
cizí,0.1026743593744944,0.27450186386809156,-0.9774884850222172,33,no age,0.42424242424242425,1,0.03787878787878788,0.06818181818181818,0.17424242424242425,0.12878787878787878,0.09595959595959595,0.03535353535353535,0.03535353535353535,0.42424242424242425,NA,NA,cizí,foreign,a,NA,cz,words,adjective,word_301,sociolex
cola,2.6740706517949255,0.1903512926616207,1.691312783685929,51,07-17,0.39187675070028016,1,0.06834733893557422,0.39187675070028016,0.3232492997198879,0.05854341736694678,0.009523809523809523,0.0056022408963585435,0.0056022408963585435,0.13725490196078433,NA,NA,cola,cola,f,i,cz,words,noun,word_306,sociolex
