item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
ideologie,NA,NA,ideologie,ideology,f,i,cz,words,noun,word_669,sociolex
idol,NA,NA,idol,idol,m,i,cz,words,noun,word_672,sociolex
imigrace,NA,NA,imigrace,immigration,f,i,cz,words,noun,word_675,sociolex
imperialismus,NA,NA,imperialismus,imperialism,m,i,cz,words,noun,word_678,sociolex
impotence,NA,NA,impotence,impotence,f,i,cz,words,noun,word_679,sociolex
Indie,NA,NA,Indie,India,f,i,cz,words,noun,word_680,sociolex
individualismus,NA,NA,individualismus,individualism,m,i,cz,words,noun,word_681,sociolex
infarkt,NA,NA,infarkt,heart attack,m,i,cz,words,noun,word_682,sociolex
infekce,NA,NA,infekce,infection,f,i,cz,words,noun,word_683,sociolex
informatika,NA,NA,informatika,copmuter science,f,i,cz,words,noun,word_684,sociolex
internet,NA,NA,internet,Internet,m,i,cz,words,noun,word_693,sociolex
Irák,NA,NA,Irák,Iraq,m,i,cz,words,noun,word_698,sociolex
Irsko,NA,NA,Irsko,Ireland,n,i,cz,words,noun,word_699,sociolex
islám,NA,NA,islám,Islam,m,i,cz,words,noun,word_700,sociolex
Itálie,NA,NA,Itálie,Italy,f,i,cz,words,noun,word_701,sociolex
Izrael,NA,NA,Izrael,Israel,m,i,cz,words,noun,word_702,sociolex
jabloň,NA,NA,jabloň,apple tree,f,i,cz,words,noun,word_704,sociolex
Jamajka,NA,NA,Jamajka,Jamaica,f,i,cz,words,noun,word_706,sociolex
Japonsko,NA,NA,Japonsko,Japan,n,i,cz,words,noun,word_707,sociolex
jaro,NA,NA,jaro,spring (season),n,i,cz,words,noun,word_708,sociolex
játra,NA,NA,játra,liver,n,i,cz,words,noun,word_711,sociolex
javor,NA,NA,javor,maple tree,m,i,cz,words,noun,word_712,sociolex
jazz,NA,NA,jazz,jazz,m,i,cz,words,noun,word_714,sociolex
jedle,NA,NA,jedle,fir tree,f,i,cz,words,noun,word_716,sociolex
jedna,NA,NA,jedna,one (number),f,i,cz,words,noun,word_717,sociolex
jehličnan,NA,NA,jehličnan,conifer tree,m,i,cz,words,noun,word_727,sociolex
jehněčí,NA,NA,jehněčí,lamb,n,i,cz,words,noun,word_728,sociolex
jeskyně,NA,NA,jeskyně,cave,f,i,cz,words,noun,word_735,sociolex
jetel,NA,NA,jetel,clover,m,i,cz,words,noun,word_737,sociolex
ježíšek,NA,NA,ježíšek,baby Jesus,m,i,cz,words,noun,word_739,sociolex
jídlo,NA,NA,jídlo,food,n,i,cz,words,noun,word_740,sociolex
Jihlava,NA,NA,Jihlava,Jihlava,f,i,cz,words,noun,word_741,sociolex
jistota,NA,NA,jistota,certainty,f,i,cz,words,noun,word_743,sociolex
jitrocel,NA,NA,jitrocel,plantain,m,i,cz,words,noun,word_745,sociolex
jméno,NA,NA,jméno,name,n,i,cz,words,noun,word_746,sociolex
jóga,NA,NA,jóga,yoga,f,i,cz,words,noun,word_747,sociolex
jogurt,NA,NA,jogurt,yoghurt,m,i,cz,words,noun,word_748,sociolex
joint,NA,NA,joint,joint (drug),m,i,cz,words,noun,word_749,sociolex
judaismus,NA,NA,judaismus,Judaism,m,i,cz,words,noun,word_751,sociolex
kabriolet,NA,NA,kabriolet,convertible,m,i,cz,words,noun,word_753,sociolex
kámen,NA,NA,kámen,stone,m,i,cz,words,noun,word_763,sociolex
Kanada,NA,NA,Kanada,Canada,f,i,cz,words,noun,word_764,sociolex
kapela,NA,NA,kapela,band (music),f,i,cz,words,noun,word_766,sociolex
kapitalismus,NA,NA,kapitalismus,capitalism,m,i,cz,words,noun,word_767,sociolex
kapradí,NA,NA,kapradí,fern tree,n,i,cz,words,noun,word_769,sociolex
karafiát,NA,NA,karafiát,carnation,m,i,cz,words,noun,word_770,sociolex
karate,NA,NA,karate,karate,n,i,cz,words,noun,word_771,sociolex
